Class;Cause;Source;Target;Total;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;Instability
BibtexTextPrefix;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;2;3;5;4;4;4;5;5;5;2
BibtexWidth;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;3;4;5;4;4;5;3;5;5;2
BrowseAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;3;5;4;3;3;2;5;5;2
BuildInfo;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;3;3;3;3;5;5;1
Cache;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;2;2;5;3;3;3;3;5;5;1
CanonicalBibtexEntry;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;3;3;5;3;3;4;5;5;5;2
CapitalizeFormatter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;2;5;5;3
CaseChangeMenu;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;3;5;5;5;5;4
CaseKeeperList;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;3;5;3;3;3;1;5;5;1
ChangeCaseFunction;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;4;3;5;3;3;3;5;5;5;4
ChangeDisplayDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;3;5;4;4;5;5;5;5;5
ChangeEntryTypeMenu;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;3;3;5;2;2;2;1;5;5;4
ChangeTypeAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;4
CheckBoxMessage;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;1
CheckForNewEntryTypesAction;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;4;3;5;2;2;2;1;5;5;5
CitationEntry;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;3;5;2;2;2;1;5;5;1
CitationManager;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;3;4;5;5;5;5;5;5;5;5
CleanupAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;4;5;3;3;3;1;5;5;5
CleanupActionsListModel;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;3;5;2;2;2;1;5;5;3
CleanupJob;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
CleanupPresetPanel;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;5;4;5;2;2;2;1;5;5;5
CleanupWorker;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;2;2;2;1;5;5;5
ClearFormatter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;2
ClipBoardManager;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;3;5;3;3;3;2;5;5;3
ColorSetupPanel;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;3;4;5;4;4;5;5;5;5;4
CompleteRenderer;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;3;5;5;3
CompositeFormat;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;2;2;5;2;2;2;2;5;5;2
ConfirmCloseFileListEntryEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
ConnectionLostException;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;1
ContainBasedSearchRule;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;3;3;5;2;2;2;1;5;5;3
ContainsAndRegexBasedSearchRuleDescriber;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;3;5;2;2;2;1;5;5;4
ContentAutoCompleters;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;3;3;5;4;4;3;5;5;5;4
ContentSelectorDialog2;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4
ConversionMenu;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;3;5;5;5;5;4
Cookie;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;5;5;3;4;5;5;5;4;4;5;5;1
CookieHandlerImpl;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;4;4;3;3;5;5;3
CopacImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;5;4;5;4;5;4;4;4;4;5;5;3
CopyAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;3;2;5;2;2;2;2;5;5;4
CopyVersionToClipboardAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;1;5;2;2;2;3;5;5;5
CreateBibORDFAuthors;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;2;5;2;2;2;2;5;5;3
CreateDocBookAuthors;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;4;5;3;3;3;3;5;5;4
CreateDocBookEditors;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;3;5;5;5
CrossRef;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;4;4;5;5;5;4;4;5;5;3
CrossRefEntryComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;2;2;5;4;4;3;4;5;5;3
CurrentDate;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;2;2;5;2;2;2;3;5;5;3
CustomExportDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;4;5;4;4;5;5;5;5;5
CustomImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;3;4;5;4;4;3;3;5;5;2
Database;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;4;4;4;5;5;5;2
DatabaseImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5
DatabasePropertiesDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;5;5;5;5;5;4;4;5;5;5;5;5
DatabaseSearcher;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;2;5;5;4
DatabaseType;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;1
DatePickerButton;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;4;3;3;3;5;5;4
DbConnectAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;3;5;3;3;3;2;5;5;5
DBConnectDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;4;4;4;5;4;4;5;5;5;5;4
DBExporterAndImporterFactory;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;3
DbImportAction;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;5;4;5;5;5;4;3;5;5;5
DBImporterResult;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;3
DBLPHelper;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;4;3;5;2;2;2;1;5;5;4
Default;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;2;5;2;2;2;3;5;5;2
DefaultAutoCompleter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;3
DefaultDesktop;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;2;5;2;2;2;2;5;5;3
DOI;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;3;3;5;4;4;4;3;5;5;1
DOICheck;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;3;5;5;3
DoiCleanup;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;3;5;2;2;2;1;5;5;5
DoiResolution;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;4;4;5;4;4;3;3;5;5;4
DOIStrip;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;1;5;2;2;2;3;5;5;3
DownloadExternalFile;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;5;5;5;3;5;5;4
DragDropPane;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;4;5;4;5;5;5;5;4;5;5;3
DragDropPopupPane;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;2;5;2;2;2;2;5;5;3
DuplicateCheck;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;3
DuplicateResolverDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;4;4;5;5;5;5;5;5;5;4
DuplicateSearch;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;5;5;4;3;5;5;5
DuplicationChecker;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;3;5;5;5;4;4;5;5;1
EmacsKeyBindings;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;5;5;5;5;5;5;5;3;5;5;2
EncodingControl;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;3;3;3;5;5;1
Encodings;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;1;5;5;4;4;5;5;5;1
EncryptedPdfsNotSupportedException;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;5;5;5;1
EndnoteImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;3
EntireFieldAutoCompleter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;3
EntriesGroupChange;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;1
EntryAddedEvent;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;1;5;2;2;2;3;5;5;2
EntryChangedEvent;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
EntryComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;4;4;4;5;5;4;4;3;5;5;4
EntryContainer;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
EntryConverter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;5;5;4;5;5;5;1
EntryCustomizationDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
EntryEditorPrefsTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;5;4;3;5;5;4;4;4;2;5;5;5
EntryEditorTab;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;4;4;4;1;5;5;5
EntryEditorTabFocusListener;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;5;5;4;4;5;3;3;3;3;5;5;4
EntryEvent;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;1;5;2;2;2;3;5;5;2
EntryFetchers;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;3;3;4;5;5;5
EntryMarker;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;3
EntryRemovedEvent;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
EntrySorter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;3;3;3;3;5;5;2
EntryTableTransferHandler;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;5;5;5;5;5;5;4;3;5;5;4
EntryType;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;2;5;4;4;2;2;5;5;1
EntryTypeList;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;4;4;5;4;4;4;3;5;5;5
EntryTypes;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;3;4;5;4;4;4;3;5;5;2
ErrorConsoleAction;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;3;3;5;2;2;2;1;5;5;4
EverythingMatcher;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;3
ExplicitGroup;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;4;5;3;3;3;1;5;5;2
ExportCustomizationDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;4;5;4;4;5;5;5;5;5
ExportFileFilter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;3;5;2;2;2;1;5;5;2
ExportToClipboardAction;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;4;5;4;5;3;3;3;2;5;5;5
ExternalFileMenuItem;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;5;4;5;4;4;5;5;5;5;4
ExternalFileTypeEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5
ExternalFileTypeEntryEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;4;5;5;5;4;4;4;2;5;5;4
ExternalTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;3;5;2;2;2;1;5;5;5
FieldChange;FALSE;TRUE;FALSE;TRUE;5;5;5;4;3;5;4;2;3;5;2;2;2;1;5;5;1
FieldChangedEvent;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;2
FieldComparatorStack;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;2;2;2;2;5;5;1
FieldContentSelector;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;3;4;5;5;5;4;2;5;5;4
FieldEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;1
FieldEditorFocusListener;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;1;5;2;2;2;2;5;5;2
FieldExtraComponents;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;5;5;5;5;5;5;3;5;5;5
FieldFormatterCleanupsPanel;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;5;5;5;5;4;4;5;5;5;5;4
FieldNameLabel;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;2;5;4;4;3;4;5;5;2
FieldProperties;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;2;2;2;5;5;1
FieldSetComponent;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;4;5;5;5;5;4;2;5;5;3
FieldTextMenu;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;4;5;3;4;5;2;2;2;1;5;5;4
FileBasedLock;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;2;5;4;3;4;5;5;5;2
FileDialogs;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;2
FileField;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;4;4;4;4;5;5;1
FileFinder;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;2;2;5;3;3;4;5;5;5;3
FileHistoryMenu;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;4;3;5;4;4;5;5;5;5;3
FileLinksUpgradeWarning;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;5;5;5;5;4;4;4;3;5;5;5
FileListEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;5;5
FileListEditorTransferHandler;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;5;4;2;4;5;3;3;3;2;5;5;4
FileListEntryEditor;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;5;5;5;5;5;5;4;2;5;5;4
FileNameCleaner;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;1;5;3;3;4;5;5;5;1
FileSortTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;3;5;3;3;3;1;5;5;4
FileTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;5;4;3;5;5;2;2;2;1;5;5;5
FileUpdateListener;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;5;5;5;1
FileUpdateMonitor;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;3;4;5;5;5;4;3;5;5;2
FileUpdatePanel;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;4;4;3;3;5;5;5
FindFullText;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;3;5;2;2;2;1;5;5;5
FindFullTextAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;4;4;2;1;5;5;5
FindUnlinkedFilesDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
FirstColumnComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;2;2;5;2;2;2;2;5;5;4
FirstPage;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;3;5;5;2
FocusRequester;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;2;5;3;2;2;2;5;5;1
FontSelectorDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;4;5;5;4;4;5;5;5;5;3
FormatNameFunction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;3;5;4;4;4;4;5;5;4
FormatPagesForHTML;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;3
FormatPagesForXML;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;3
Formatter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;1;5;2;2;2;2;5;5;1
Formatters;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;1;5;4;3;4;4;5;5;5
FromAuxDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;4;5;5;3;3;5;5;5;5;5
FullTextFinder;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;1
GeneralFetcher;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;5;5;5;5;5;4;2;5;5;5
GeneralRenderer;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;3;3;5;5;5;5;1
GeneralTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;5;4;5;5;4;4;5;5;5;5;5
GenFieldsCustomizer;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;4;4;5;5;5;4;4;5;5;5;5;5
GetOpenOfficeType;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;5;4;2;3;5;4;4;4;5;5;5;2
GlobalFocusListener;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;1
GlobalSearchWorker;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;2;5;2;2;2;2;5;5;5
GoogleScholar;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;4;3;5;4;4;2;1;5;5;3
GrammarBasedSearchRule;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;5;5;5;3;3;3;1;5;5;3
GrammarBasedSearchRuleDescriber;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;5;4;3;4;5;4;4;4;4;5;5;4
GroupAddRemoveDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;5;4;5;5;5;3;1;5;5;5
GroupDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;4;5;5;4;5;5;5;5;5;4;5;5;5
GroupHierarchyType;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;3;5;5;1
GroupMatcher;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;2
GroupSelector;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;4
GroupsParser;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;5;4;3;5;3;3;4;5;5;5;4
GroupsPrefsTab;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;3;5;2;2;2;1;5;5;4
GroupsTree;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5
GroupsUtil;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;5;5;4;5;4;4;4;4;5;5;4
GroupTreeCellRenderer;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;5;4;4;4;5;4;4;5;5;5;5;3
GuiAppender;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;2;2;5;3;3;3;3;5;5;3
GUIGlobals;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;5;4;5;5;5;5;4;5;5;3
GVKParser;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3
HandleDuplicateWarnings;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;4
HelpAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;3;3;3;2;5;5;2
HighlightMatchingGroupPreferences;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;2;5;2;2;2;2;5;5;2
HitOrMissComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;2;2;2;2;5;5;3
HTMLParagraphs;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;3;5;3;3;3;4;5;5;2
HtmlToUnicodeFormatter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;2;5;5;3
HtmlTransferable;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;2;2;2;1;5;5;1
HTMLUnicodeConversionMaps;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;2;3;5;5;5;4;2;5;5;1
IconComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;2;3;5;3;3;3;3;5;5;2
IdComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;1;5;2;2;2;4;5;5;3
IdentityFormatter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;3;3;3;4;5;5;2
IdGenerator;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;2;1;5;3;3;4;5;5;5;1
IEEE;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;5;5;4;5;3;3;3;3;5;5;4
IEEETranEntryTypes;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;2;3;5;5;5;5;5;5;5;2
IExportFormat;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;4;2;2;3;5;5;2
IfPlural;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;2;2;5;4;4;2;2;5;5;2
ImportCustomizationDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
ImportFileFilter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;3;5;2;2;2;1;5;5;2
ImportFormat;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;4;5;3;3;2;1;5;5;1
ImportFormats;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;5;5;4;5;4;4;4;4;5;5;5
ImportInspectionCommandLine;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;3;5;4;4;4;5;5;5;4
ImportInspector;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;4;5;5;1
ImportMenuItem;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5
IncompleteRenderer;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;2;1;5;2;2;2;3;5;5;4
InspecImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;4;5;5;5;4;4;5;4;5;5;3
INSPIREBibtexFilterReader;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;3;3;2;1;5;5;1
IntegrityCheckAction;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;4;5;4;5;2;2;2;1;5;5;5
IntegrityMessage;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;4;4;4;5;5;5;2
IsiImporter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3
IsMarkedComparator;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;2;2;5;4;4;3;5;5;5;4
Iso690FormatDate;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;4;3;5;2;2;2;2;5;5;3
Iso690NamesAuthors;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;5;4;5;4;5;3;3;3;3;5;5;3
ISSNChecker;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;5;4;3;3;5;3;3;3;3;5;5;4
JabRefCLI;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;5;5;5;5;5;5;5;3;5;5;4
JabRefLogger;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;3;2;5;3;3;4;5;5;5;1
JabRefMessageHandler;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;2;5;5;4
JabRefPreferencesFilter;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;4;3;5;3;2;2;1;5;5;2
JabRefPreferencesFilterDialog;FALSE;FALSE;FALSE;FALSE;5;5;5;5;3;4;4;3;4;5;4;4;5;5;5;5;4
JournalAbbreviationRepository;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;4;4;5;4;5;2;2;2;1;5;5;1
JournalAbbreviationsUtil;FALSE;FALSE;FALSE;FALSE;5;5;5;4;5;4;5;3;2;5;3;3;4;5;5;5;4
JournalAbbreviator;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;3;5;5;4
JournalAutoCompleter;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;4;3;2;5;2;2;2;2;5;5;4
JSONEntryParser;FALSE;FALSE;FALSE;FALSE;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;2
JTextAreaWithHighlighting;FALSE;FALSE;FALSE;FALSE;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;4
JTextFieldChangeListenerUtil;FALSE;FALSE;FALSE;FALSE;5;5;5;4;3;4;5;3;3;5;4;4;4;5;5;5;1
